序号	年级	章节	涉及模块	题目	答案	答题过程
1054				14．（3分）有一筐桃子，4个4个地数，多2个；6个6个地数，多4个；8个8个地数，少2个．已知这筐桃子的个数不少于120，也不多于150，共有　   　个．	142	【解答】解：[4、6、8]＝24． 这筐桃子的数量可以记作24x﹣2， 120＜24x﹣2＜150． x是整数，所以x＝6， 这筐桃子共有：24×6﹣2＝142（个）． 答：这筐桃子共有142个． 故答案为：142．
24	六年级	第九讲	比例应用题	老赵、老钱、老孙三人凑钱买来一张彩票，没想到竞然中奖了.领来奖金后，他们三人按照3:5:4的比例来分，结果老钱比老赵多分到了2000元，那么老孙分到了       元.	4000	按比例分配应用题2000÷(5-3)×4=4000(元)
576	二年级	第12届	等量代换	△+△+□=24, □+□+77=○, 14+○=99, △=____.	10	○=99-14=85; □=(85-77)÷2=4; △=(24-4)÷2=10.
64	六年级	第十一讲	浓度与经济	在春节期间，美味故事超市进行促销活动，用14元1千克的巧克力糖、7元1千克的牛奶糖、6元1千克的水果糖混合成为8元1千克的什锦糖.如果巧克力糖1千克、水果糖2千克，应放牛奶糖      千克.	2	方程方法.设应放牛奶糖x 千克. 14×1+6×2+7×x=(1+2+x)×8，解得x=2.
486	四年级	第二讲	整数巧算	计算：98+197+2996+39995+499994+5999993+69999992+799999991=	876543256	原式=(98+2)+(197+3)+(2996+4)+(39995+5)+(499994+6)+(5999993+7)+ (69999992+8)+(799999991+9)-(2+3+4+5+6+7+8+9) =100+200+3000+40000+500000+6000000+70000000+800000000-44 =876543300-44 =876543256
1171				14．（15分）有两块地，平均亩产粮食675千克，其中第一块地5亩，亩产粮食705千克．如果第二块地亩产粮食650千克，第二块地有多少亩？	6	【解答】解：假设两块地的平均亩产量都是675千克， （705﹣675）×5÷（675﹣650） ＝150÷25 ＝6（亩） 答：第二块地有6亩．
1602				某五号码牌由英文字母和数字组成，前四位有且只有两位为英文字母（字母I、O不可用），最后一位必须为数字．小李喜欢18这个数，希望自己的号码牌中存在相邻两位为1和8，且1在8的前面，那么小李的号码牌有　　种不同的选择方式．（英文共有26个字母）	34560	解：除掉18剩余的三个位置有10×24×24＝5760（种）， 所以18在一二位有5760种； 18在二三位有5760种； 18在三四位有5760种； 18在四五位有5760×3＝17280种； 综上，共有5760×6＝34560（种）， 故填34560．
702	五年级	第一讲	比较与估算	设a = 1/3 + 1/4，b = 1/5 + 1/7，则在a与b中，较大的数是________。	a	1/3 = 1/6 + 1/7 > 1/6 + 1/7 + 1/4 > 1/5，所以a > b。
414	四年级	第十九讲	抽屉原理	口袋里有70只球，其中20只是红球，20只是绿球，20只是黄球，其余的是白球和黑球. 任意从中取出几只球，可确保取出的球中至少有10只同色的球. 	38	考虑最不利情况，9+9+9+10+1=38.
820	五年级	第二十三讲	数的整除	"使得10""-1是63的倍数的最小正整数n 是"	6	"63=9×7.10""-1肯定是9的倍数，所以只要考虑7的倍数就可以了.考虑到 111111是7的倍数，10⁶-1=999999,所以最小的n 是6 ."
902				欢欢对乐乐说：“我比你大8岁，2年后，我的年龄是你的年龄的3倍。”欢欢现在_________岁。	10	2年后，欢欢仍比乐乐大8岁，那么乐乐2年后的年龄是8÷(3-1)=4(岁)，欢欢现在的年龄是4+8-2=10(岁)。
416	四年级	第十九讲	抽屉原理	从1到20中，最多能取几个数，使任意两个数不是3倍关系.	16	按照3倍关系分组. (1、3、9),(2、6、18),(4、12),(5、15),(7),(8),(10),(11), (13),(14),(16),(17),(19),(20)共14组，从第一组和第二组中最多可以取两个数，剩下每组 中最多取一个数，所以最多可以取2+2+12=16(个)数使得任意两个数没有3倍关系. 
479	四年级	第二讲	整数巧算	计算：33×20102010-2010×330033= 	0	原式=33×(2010×10001)-2010×(33×10001)=0
1824	五年级			\begin{aligned}   &\text{一个四位数是 25 的整数倍，其各位数字之和是 25，} \\ &\text{这个四位数是 } \underline{\quad}。   \end{aligned}	9925、4975、5875、6775、7675、8575、9475	\begin{aligned}   &\text{【分析】整除性+分类讨论} \\    &\text{末两位 00：不存在；} \\    &\text{末两位 25：9925，1 个；} \\    &\text{末两位 50：不存在；} \\    &\text{末两位 75：4975, \ 5875, \ 6775, \ 7675, \ 8575, \ 9475，\ 共 6 个。}   \end{aligned}
1822	五年级			\begin{aligned}   &\text{平面上有 50 条直线，其中 20 条互相平行，} \\ &\text{这些直线最多将平面分成的部分数为：} \\  \end{aligned}	1086	\begin{aligned}   &\text{30 条直线最多将平面分成 } 2 + 2 + 3 + \cdots + 30 = 466 \ \text{个部分；} \\ &\text{之后每增加 1 条直线，与前面的 30 条直线最多有 30 个交点，} \\ &\text{这 30 个交点最多将这新增的直线分成 } 30 + 1 = 31 \ \text{段；} \\ &\text{每段又会原来的平面增加 1 个部分，那么 31 段会增加 } 31 \times 1 \ \text{个部分；} \\ &\text{最多能将平面分成 } 466 + 31 \times 20 = 1086 \ \text{个部分。}   \end{aligned}
271	四年级	第三讲	小数计算	若A=12345678910111213÷31211101987654321,那么A 的值是一个小数，这个小数的 小数点后的前三位数字是           	395	本题利用估算，除数与被除数的位数相同，将除数与被除数的小数点同时向左移动 相同的若干位商不变.由于只求小数点后前三位的数字.则将被除数、除数均保留前4位进行计 算可得： A=12345678910111213÷31211101987654321≈1235÷3121=0.3957 … 有1234÷3122<A<1235÷3121 0.3952<A<0.3957 因此小数点后的前三位数字是395. 
965				56. 甲、乙两个信息收发中心，其收、发速度不同，甲每秒钟可以发送2800MB，每秒钟可以接收2000MB；乙每秒钟可以发送3000MB，每秒钟可以接收2800MB。现乙不断地从甲处接收信息后再发送出去，已知乙处发送前已存信息5000MB，乙需经过____秒才不会有信息存留。	25	乙每秒可从甲处接收2800MB的信息，同时发出3000MB的信息，所以经过5000÷(3000-2800)=25秒后乙没有信息存留。
589	六年级	第12届	逆向思维	有一个两人游戏，两堆黑(5颗)白(8颗)围棋子是游戏道具，用抓阄或猜叮壳等方式确定谁先走，把先走的一方称为先手方，后走的一方称为后手方，游戏规则如下：先手方必须在两堆棋子中选定一堆，至少选择一颗取走，也可以选择将这一堆全部棋子取走；先手方完成之后，后手方开始按照同样的规则取围棋子；双方轮流抓取，直到取完所有棋子。取走最后一颗围棋子的人获胜。这个游戏先手方是有必胜策略的，如果要取胜，先手方在一开始应该取走 ______ 。	3	使白色子数量与黑色子保持一致后，如对方取黑色堆，则在白色堆取相同数量，反之亦然，必可取走最后一颗棋子。
1319	五年级			96×15÷（45×16）＝　   　．	2	解：96×15÷（45×16）， ＝96×15÷45÷16， ＝（96÷16）×（15÷45）， ＝6×1/3， ＝2； 故答案为：2．
219	六年级	第十四讲	定义新运算	 若a、b、c为任意正整数，定义： [a,c,b]=(a×b+c,b);(d,e)-(f,g)=(d×g-e×f,g×e). 则[11,2,5]-[3,1,7]=(                )	(289,35)	 [11,2,5]-[3,1,7]  =(11×5+2,5)-(3×7+1,7) =(57,5)一(22,7) =(57×7-5×22,5×7) =(289,35)
1285	五年级			甲乙两车同时从A、B两地出发相向而行，在距B地108千米处相遇．他们各自到达对方的出发地后立即返回原地，途中又在距A地84千米处相遇．两次相遇地点相距　   　千米．	48	解：108×3﹣84﹣108﹣84， ＝324﹣84﹣108﹣84， ＝240﹣108﹣84， ＝132﹣84， ＝48（千米）， 答：两次相遇地点相距48千米， 故答案为：48．
535	四年级	第15届	因数	大于0的自然数，如果满足所有因数之和等于它自身的2倍，则这样的数称为完美数或完全数。比如，6的所有因数为：1，2，3，6，1+2+3+6=12，6是最小的完美数。是否有无限多个完美数的问题至今仍然是困扰人类的难题之一。研究完美数可以从计算自然数的所有因数之和开始。78的所有因数之和为____。	168	78=2×3×13，故78的因数个数共有2×2×2=8个，因数和为(1＋2)×(1＋3)×(1＋13)=168。
1659				甲、乙两数的和是1149，甲数除以乙数所得的商是8，余数是24，则甲数为 ________ 。	1024	和倍问题。 （方法一） 设乙数为x，则甲数为8x+24； 根据题意，得(8x+24)+x=1149； 解得x=125； 甲数为8×125+24=1024或1149−125=1024。
116	六年级	第十四讲	行程综合 	小李开车从甲地去乙地，出发后2小时，车在丙地出了故障，修车用了40分钟，修好后， 速度只为正常速度的75%,结果比计划时间晚2小时到乙地.若车在行过丙地72千米的丁地  才出故障，修车时间与修车后的速度分别还是40分钟与正常速度的75%,则比计划时间只晚  1.5小时.那么,甲乙两地全程几千米.	288	40分钟=2/3小时 从丙到乙正常与故障后的速度比为1:75%=4:3,则时间比为3:4. 那么丙到乙计划用(2-2/3)/(4-3)*3=4小时 所以原计划小李从甲地到乙地要走2+4=6(小时). 从丙到丁正常与故障后的速度比为1:75%=4:3,则时间比为3:4, 那么丙到丁计划用(2-1.5)÷(4-3)×3=1.5(小时), 所以小李开车的计划速度为72÷1.5=48(千米/小时). 所以甲乙全程为48×6=288(千米).
553	三年级	第9届	等差数列	85袋大米分给10个人，从第二个人起，每人比前一个人少1袋，第一人得____袋。	13	这10个人分得的大米袋数是一个等差数列，第1和第10个一组，第2个和第9个一组，…，依次搭配共5组，每组和相等的都等于85÷5=17；而第1个数又比第10个数大9，由和差问题得第一个人是13袋。
1058				19．（3分）东方红小学2012年的升旗时间因日期不同而不同，规定：1月1日到1月10日恒定为早晨7：13；1月11日到6月6日，从早晨7：13逐渐提前到4：46，每天依次提前1分钟；6月7日到6月21日，恒定为早晨4：46．则今天（3月11日）东方红小学的升旗时间是　   　点　   　分．	6，13	【解答】解：2012÷4＝503； 2012年是闰年，二月份有29天；1月份有31天， 从1月11日到3月11日一共有： 29+31＝60（天）； 60×1＝60（分钟）； 60分钟＝1小时； 从7：13向前推算1小时就是6：13． 答：3月11日东方红小学的升旗时间是6点13分． 故答案为：6，13．
368	四年级	第十一讲	基本行程	 一 列火车驶过250米长的隧道用了18秒 .若将火车的速度提高 一倍，则通过400米的 隧道只用了12秒，则这列火车的全长是几米，火车原来的行驶速度为每秒几米 .	 200;25	 车长+250=18v;车长+400=12*2v 可解得v=(400-250)÷(12×2-18)=25(米/秒). 那么车长是18×25-250=200(米). 
583	六年级	第12届	百分数	有含食盐为6%的盐水92千克，如果将盐水的浓度提高到8%，需要再加入盐 ____ 千克.	2	92×(1-6%)÷(1-8%)=94（千克）94-92=2（千克）。
1450				由单位正方形组成的m×n的矩形棋盘（其中m，n为不超过10的正整数），在棋盘的左下角单位正方形里放有一枚棋子，甲乙两人轮流行棋．规则是：或者向上走任意多格，或者向右走任意多格，但是不能走出棋盘或者不走．若规定不能再走者为负（即最先将棋子移至右上角者获胜）．那么能使先行棋的甲有必胜策略的正整数对（m，n）共有　　个．	90	解：假设甲先走，乙后走， 首先容易知道M＝N＝1时，甲必败，下面我们归纳证明当M＝N时，甲必败， 首先M＝N＝1的情形是显然的． 假设M＝N≤K时，甲必败，则当M＝N＝K+1时，假设甲第一步往任意一个方向走X步， 则乙便往另外一个方向走X步． 若X＝K+1，易知此时已经走到右上角，所以甲已经败了，否则X＜K+1，这样就就变成了重新在一个（K+1﹣X，K+1﹣X）的棋盘上行棋．  这里1≤K+1﹣X≤K，而此时刚好也轮到甲行棋，由归纳假设知此时甲必败， 所以结果仍然是甲必败．这样就完成了证明． 下面看当M不等于N时的情形，假设M＞N （M＜N同理）， 甲可以第一步直接将棋子沿长为M的方向走M﹣N步 这样就变成了重新在一个（N，N）棋盘上行棋，且此时轮乙行棋，由上面的结论知 此时乙必败，即甲必胜． 综上知要使先走的甲必胜，那么只需要M不等于N即可． 即满足这样的正整数对有10×10﹣10＝90对． 故答案为90．
238	六年级	第四讲	定义新运算	“△”是一种新运算，规定：a△b=a×c+b×d (其中c,d 为常数),如5△7=5×c+7×d 如果1△2=5,2△3=8,那么6△1000的计算结果是         	2006	1△2=1×c+2×d=5,2△3=2×c+3×d=8 可得c=1,d=2 6△1000=6×c+1000×d=6×1+1000×2=2006.
439	四年级	第二十一讲	应用最值	一本故事书共有30个故事，每个故事分别占1、2、3、 …、30页(未必按这个顺序) .第一 个故事从第1页开始：每个故事都从新的一页开始，最多有 几个故事是从奇数 页开始的.	23	先安排偶数页的故事：共15个故事，可以确保每个故事的第1页都安排在奇数页 码；接下来安排奇数页的故事.1页的故事从奇数开始，3页的故事从偶数页码开始，5页的故事 从奇数页码开始……29页的故事从奇数页码开始，共有8个奇数页的故事从奇数页码开始.所 以最多有15+8=23(个)故事从奇数页开始.
901				放寒假了，叔叔送给强强一本有许多个故事的书，强强计划每天看同样个数的故事，用20天可看完。但强强在看书时发现故事很有趣，实际每天比原计划多看3个故事，结果提前4天看完了故事书。这本故事书一共有_________个故事。	240	强强原计划每天看3×(20-4)÷4=12(个)故事，所以这本故事书一共有12×20=240(个)故事。
520	六年级	第15届	分数计算	用 4068289减去它的 1/2，再减去余下的 1/3，再减去余下的 1/4，....，以此类推，一直到减去余下的 1/2017，那么最后的得数为 ________。	2017	由题可知：4068289 × (1 - 1/2) × (1 - 1/3) × (1 - 1/4) × ······· × (1 - 1/2017)  = 4068289 × 1/2 × 2/3 × 3/4 × ······· × 2016/2017 = 2017.
